Framework_Number,Framework_Name
RM1043.8,Digital Outcomes 6
RM1557.14,G-Cloud 14
RM3764.3,Cyber Security Services 3
RM3764.4,Cyber Security Services 4
RM3825,HSCN DPS
RM6088,Construction Works and Associated Services
RM6094,Spark DPS
RM6095,Gigabit Capable Connectivity DPS
RM6098,Technology Products & Associated Services 2
RM6099,Transport Technology & Associated Services
RM6100,Technology Services 3
RM6102,Apprenticeship Training Dynamic Marketplace
RM6116,Network Services 3
RM6120,Leasing and Loan Finance DPS
RM6123,Media Services
RM6124,Communications Marketplace
RM6125,Campaign Solutions 2
RM6126,Research & Insights
RM6138,Insurance Services 3 DPS
RM6142,"Supply of tyres, glass and fast fit solutions"
RM6148,Quality Assurance and Testing for IT Systems 2
RM6157,Building Materials and Equipment
RM6163,Workforce Improvement Services
RM6165,Construction Professional Services
RM6168,Estate Management Services
RM6170,Print Management Services
RM6171,Courier and Specialist Movements
RM6173,Automation Marketplace DPS
RM6174,"Multifunctional Devices (MFDs), Print and Digital Workflow Software Services and"
RM6175,"Records Information Management, Digital Solutions and Associated Services"
RM6179,Legal Services Panel
RM6181,Outsourced Contact Centre and Business Services
RM6183,Trade Law Panel
RM6184,Offsite Construction Solutions
RM6186,Fuel Cards and Associated Services VI
RM6187,Management Consultancy Framework Three (MCF3)
RM6188,Audit & Assurance Services (A&AS)
RM6190,Technology Services 4
RM6193,Software Design and Implementation Services
RM6195,Big Data and Analytics
RM6200,Artificial Intelligence (AI)
RM6202,Tail Spend Solution
RM6204,Rail Legal Services
RM6213,Vehicle Charging Infrastructure Solutions (VCIS)
RM6219,Learning and Training Services DPS
RM6221,Digital Capability for Health
RM6225,Audio Visual Technical Consultancy & Commissioning
RM6226,Debt Resolution Services
RM6229,Permanent Recruitment 2
RM6232,Facilities Management and Workplace Services
RM6235,Space-Enabled and Geospatial Services
RM6237,Low Value Purchase System
RM6238,Supply Teachers and Temporary Staffing (STaTS)
RM6240,Public Sector Legal Services
RM6241,Housing Maintenance and Repair
RM6242,Construction Professional Services DPS
RM6244,Purchase of Standard and Specialist Vehicles
RM6248,Payment Solutions 2
RM6249,Digital and IT Professional Services (DIPS)
RM6251,Supply of Energy 2
RM6257,"Security - Physical, Technical and Support Services"
RM6259,Vertical Application Solutions
RM6261,Mobile Voice and Data Services
RM6262,Crown Hosting II
RM6263,Digital Specialists and Programmes
RM6264,Facilities Management and Workplace Services DPS
RM6265,Vehicle Hire Solutions
RM6267,Construction Works and Associated Services 2 (CWAS2) / ProCure 23 (P23)
RM6268,"Vehicle Lease, Fleet Management and Salary Sacrifice Car Schemes"
RM6269,Restructuring & Insolvency Services
RM6273,Employee Benefits and Services
RM6276,Insourced Services to Support the Provision of Healthcare (including Clinical In
RM6277,Non Clinical Staffing
RM6278,Managed Staff Banks
RM6279,Buying Better Food and Drink
RM6280,Postal Services & Solutions
RM6281,National Framework for the Provision of Clinical and Healthcare Staffing
RM6282,"Storage, Distribution, Kitting and Associated Services"
RM6284,Costs Lawyer Services 2
RM6285,Back Office Software 2
RM6288,Workforce Solutions
RM6289,Provision of Power Purchase Agreement
RM6290,Executive & Non-Executive Recruitment Services
RM6292,Cloud Compute 2
RM6295,Outsourced Services
RM6296,Occupational Health and Related Services DPS
RM6297,Print and Digital Communications
RM6299,Office Solutions
RM6301,"Open Banking (Data, Digital Payments & Confirmation of Payee Services) DPS"
RM6302,Language Services
RM6303,Training Marketplace
RM6305,National Fuels 3
RM6306,"Water, Wastewater and Ancillary Services 3"
RM6307,Building Materials @Equipment
RM6308,Furniture and Associated Services 2
RM6309,Management Consultancy Framework Four (MCF4)
RM6310,Audit and Assurance Services Two (A&AS2)
RM6311,Communications Marketplace DPS 2
RM6313,Demand Management & Renewables DPS
RM6314,Demand Management & Renewables Framework
RM6315,Vehicle Telematics Solutions
RM6317,Cisco MoU
RM6318,Quality Assurance and Testing for IT Systems 3
RM6320,Construction Works and Associated Services 3 including ProCure 24
RM6321,Adobe ETLA 23
RM6322,Fund Administration & Disbursement Services DPS (FAADS)
RM6323,Insurance & Related Services 4
RM6325,Payment Acceptance 2
RM6328,HPe MoU
RM6329,"Logistics, Warehousing and Supply Chain Solutions"
RM6331,Healthcare Soft FM
RM6333,International Healthcare Professional Recruitment and Associated Services
RM6335,Digital & Legacy Application Services
RM6336,eDisclosure and Review Services 2
RM6340,ServiceNow MoU
RM6342,"Travel, Transport, Accommodation and Venue Solutions"
RM6343,Estate Management Services 2
RM6345,Digital Capability for Health 2
RM6346,"Records Information Management, Digital Solutions and Associated Services 2"
RM6347,Transport Technology
RM6348,Adult Skills and Learning DPS
RM6349,Income Generation from Estates & Assets
RM6350,"Income Generation from Estates, Assets & IP DPS"
RM6351,IBM MoU 2023
RM6353,"Tyres, Glass and Telematics"
RM6354,"Courier, Distribution, Storage and Specialist Solutions"
RM6356,Construction Professional Services 2
RM6358,AWS One Government Value Agreement OGVAv2
RM6359,VMo2 MoU
RM6360,Legal Panel for Government
RM6361,"Multifunctional Devices, GovPrint Hardware, Managed Print Provision and Digital"
RM6362,Oracle MoU 2024
RM6363,Microsoft SPA24
RM6364,Media and Creative Services
RM6366,Debt Resolution Services 2
RM6367,Fuel Cards and Associated Services VII
RM6368,Courier Market Place
RM6369,The Marketplace
RM6370,Space Technology Solutions
RM6371,Print Marketplace 2
RM6373,Big Data and Analytics 2
RM6374,Legal Panel for Public Sector
RM6376,Supply Teachers and Temporary Staff
RM6377,Network Services 4
RM6378,Facilities Management and Security Services
RM6380,NHS Workforce Alliance Health Workforce Solutions
RM6381,Vehicle Hire Solutions
RM6382,Purchase of Standard and Specialist Vehicles
RM6383,Payment Solutions 3
RM6384,Salesforce MoU 2024
RM6386,"NHS Workforce Alliance Occupational Health, Employee Assistance Programmes and E"
RM6387,Workforce Technology System
RM6389,NHS Notify Printed Communications and Related Services
RM6390,Supply of Energy 3
RM6391,Mobile Voice and Data Services 2
RM6392,"Vehicle Lease, Salary Sacrifice and Fleet Management"
RM6393,Tactical Communication Systems
RM6394,Executive & Non-Executive Search 3
RM6395,NHS Workforce Alliance Insourced Services to support the Provision of Healthcare
RM6396,Public Sector Software Solutions
RM6397,Non Clinical Temporary Staff
RM6398,Technology Products & Associated Services 3
RM6399,Consultancy and Professional Services
RM6400,Employee Benefits and Related Services
RM6401,Digital and Legacy Application Services 2
RM6402,Managed Collection Services
RM930,HMRC Royal Mail Wholesale
RM990,Postal Services - Royal Mail Initiative
SP-21-053,Supply of Electricity
SP-23-03,Supply of Natural Gas SP-23-03
RM1557.14L4,G-Cloud 14
