,id,Classification
0,7319-23-Supplier-marketing-toolkit-1--20250626-6,details
1,Benefits_RM1043_8--20250626-16,details
2,RM10438-DOS-6-Buyer-Guide-v11--20250626-21,details
3,RM10438-DOS-6-Buyer-Guide-v11--20250626-31,details
4,RM10438-DOS-6-Buyer-Guide-v11--20250626-32,details
5,RM10438-DOS-6-Buyer-Guide-v11--20250626-36,details
6,RM10438-DOS-6-Buyer-Guide-v11--20250626-46,details
7,RM10438-DOS-6-Buyer-Guide-v11--20250626-60,details
8,RM10438-key-changes-DOS5-to-DOS6--20250626-85,details
9,RM10438-key-changes-DOS5-to-DOS6--20250626-88,details
10,RM10438_Call-Off-Schedule-10-Exit-Management-v10--20250626-105,details
11,RM10438_Call-Off-Schedule-10-Exit-Management-v10--20250626-121,details
12,RM10438_Call-Off-Schedule-10-Exit-Management-v10--20250626-122,details
13,RM10438_Call-Off-Schedule-10-Exit-Management-v10--20250626-123,details
14,RM10438_Call-Off-Schedule-12-Clustering-v10--20250626-152,details
15,RM10438_Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-156,details
16,RM10438_Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-158,details
17,RM10438_Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-167,details
18,RM10438_Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-171,details
19,RM10438_Call-Off-Schedule-17-MOD-Terms-v10--20250626-310,details
20,RM10438_Call-Off-Schedule-19-Scottish-Law-v10--20250626-319,details
21,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-345,details
22,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-374,details
23,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-384,details
24,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-394,details
25,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-397,details
26,RM10438_Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-202,details
27,RM10438_Call-Off-Schedule-13-Implementation-Plan-and-Testing-v10--20250626-204,details
28,RM10438_Call-Off-Schedule-14-Service-Levels-and-Balanced-Scorecard-v10--20250626-243,details
29,RM10438_Call-Off-Schedule-15-Call-Off-Contract-Management-v10--20250626-271,details
30,RM10438_Call-Off-Schedule-16-Benchmarking-v10--20250626-275,details
31,RM10438_Call-Off-Schedule-16-Benchmarking-v10--20250626-288,details
32,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-432,details
33,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-455,details
34,RM10438_Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-708,details
35,RM10438_Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-710,details
36,RM10438_Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-711,details
37,RM10438_Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-714,details
38,RM10438_Call-Off-Schedule-3-Continuous-Improvement-v10--20250626-715,details
39,RM10438_Call-Off-Schedule-5-Pricing-Details-and-Expenses-Policy-v10--20250626-718,details
40,RM10438_Call-Off-Schedule-6-Intellectual-Property-Rights-and-Additional-Terms-on-Digital-Deliverables-v10--20250626-730,details
41,RM10438_Call-Off-Schedule-6-Intellectual-Property-Rights-and-Additional-Terms-on-Digital-Deliverables-v10--20250626-731,details
42,RM10438_Call-Off-Schedule-6-Intellectual-Property-Rights-and-Additional-Terms-on-Digital-Deliverables-v10--20250626-750,details
43,RM10438_Call-Off-Schedule-6-Intellectual-Property-Rights-and-Additional-Terms-on-Digital-Deliverables-v10--20250626-752,details
44,RM10438_Call-Off-Schedule-7-Key-Supplier-Staff-v10--20250626-776,details
45,RM10438_Call-Off-Schedule-8-Business-Continuity-and-Disaster-Recovery-v10--20250626-805,details
46,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-530,details
47,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-547,details
48,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-562,details
49,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-578,details
50,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-592,details
51,RM10438_Call-Off-Schedule-2-Staff-Transfer-v10--20250626-594,details
52,RM10438_Call-Off-Schedule-21-Northern-Ireland-Law-v10--20250626-603,details
53,RM10438_Call-Off-Schedule-21-Northern-Ireland-Law-v10--20250626-604,details
54,RM10438_Call-Off-Schedule-9-Security-v20--20250626-810,details
55,RM10438_Call-Off-Schedule-9-Security-v20--20250626-818,details
56,RM10438_Call-Off-Schedule-9-Security-v20--20250626-819,details
57,RM10438_Call-Off-Schedule-9-Security-v20--20250626-829,details
58,RM10438_Call-Off-Schedule-9-Security-v20--20250626-833,details
59,RM10438_Call-Off-Schedule-9-Security-v20--20250626-837,details
60,RM10438_Call-Off-Schedule-9-Security-v20--20250626-862,details
61,RM10438_Call-Off-Schedule-9-Security-v20--20250626-864,details
62,RM10438_Call-Off-Schedule-23-HMRC-Terms-v10--20250626-636,details
63,RM10438_Call-Off-Schedule-25-Ethical-Walls-Agreement-v20--20250626-654,details
64,RM10438_Call-Off-Schedule-25-Ethical-Walls-Agreement-v20--20250626-665,details
65,RM10438_Call-Off-Schedule-25-Ethical-Walls-Agreement-v20--20250626-678,details
66,RM10438_Call-Off-Schedule-25-Ethical-Walls-Agreement-v20--20250626-696,details
67,RM10438_Call-Off-Schedule-25-Ethical-Walls-Agreement-v20--20250626-697,details
68,RM10438_Framework-Schedule-4-Framework-Management-v10--20250626-1111,details
69,RM10438_Framework-Schedule-4-Framework-Management-v10--20250626-1116,details
70,RM10438_Framework-Schedule-4-Framework-Management-v10--20250626-1119,details
71,RM10438_Framework-Schedule-4-Framework-Management-v10--20250626-1121,details
72,RM10438_Framework-Schedule-4-Framework-Management-v10--20250626-1131,details
73,RM10438_Framework-Schedule-5-Management-Charges-and-Information-v20--20250626-1141,details
74,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1150,details
75,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1152,details
76,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1167,details
77,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1172,details
78,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1174,details
79,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1176,details
80,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1188,details
81,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20_1--20250626-1189,details
82,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20--20250626-1207,details
83,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20--20250626-1219,details
84,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20--20250626-1223,details
85,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20--20250626-1227,details
86,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20--20250626-1229,details
87,RM10438_Framework-Schedule-6-Order-Form-Template-Statement-of-Work-Template-and-Call-Off-Schedules-v20--20250626-1234,details
